Permission Identifier;Permission Display Name;SoD Class
Cisco_UCS_Extended;Cisco_UCS_Extended;
Clearance_Sale_Supp;Clearance_Sale_Supp;
Cloud_Storage;Cloud_Storage;
Cloud_Storage_Extended;Cloud_Storage_Extended;
Cloud_Storage_Extended_Edit;Cloud_Storage_Extended_Edit;
Comp_Acc0;Comp_Acc0;
Comp_Acc2;Comp_Acc2;
Comp_Acc3;Comp_Acc3;
Comp_Acc4;Comp_Acc4;
Comp_Acc5;Comp_Acc5;
Comp_Acc5_Extended;Comp_Acc5_Extended;
Comp_Acc6;Comp_Acc6;
Comp_Acc7;Comp_Acc7;
Consulting_DB;Consulting_DB;
Consulting_Local;Consulting_Local;
Customs_DB;Customs_DB;
Employee_Data;Employee_Data;
Employee_Lists;Employee_Lists;
Europe_Projects;Europe_Projects;
Europe_Projects0;Europe_Projects0;
Europe_Projects1;Europe_Projects1;
Europe_Projects4;Europe_Projects4;Market Follow-Up
Europe_Projects6;Europe_Projects6;
Europe_Projects7;Europe_Projects7;
Europe_Projects8;Europe_Projects8;
Europe_Projects9;Europe_Projects9;
Europe_Users;Europe_Users;
External_Policy_MUC;External_Policy_MUC;
External_Remote;External_Remote;
External_Restricted;External_Restricted;
Externals_MUC;Externals_MUC;
Firewall_SW;Firewall_SW;
FRA_Access;FRA_Access;
FRA_Access_Extended;FRA_Access_Extended;
FRA_Consulting;FRA_Consulting;
FRA_Network;FRA_Network;
Help_Desk_Manager;Help_Desk_Manager;
HP_Laserjet;HP_Laserjet;
HR_Documents;HR_Documents;Compliance
HR_Internal;HR_Internal;Legal
HR_Internals;HR_Internals;
HR_Manager;HR_Manager;
HR_Share;HR_Share;
HR_Supplier;HR_Supplier;
Identity_Portal3;Identity_Portal3;
Internal_Access_Share;Internal_Access_Share;Market Follow-Up
Internal_Employee;Internal_Employee;
Internet_Access;Internet_Access;
Intranet_Access;Intranet_Access;
Intranet_Access_Extended;Intranet_Access_Extended;
Intrusion Detection;Intrusion Detection;
Inv_Manager_Finance;Inv_Manager_Finance;
Inv_Manager_Group;Inv_Manager_Group;
Inv_Manager_R;Inv_Manager_R;
Invoice_Processing;Invoice_Processing;
Local_Factory_admin;Local_Factory_admin;
Local_Factory_user;Local_Factory_user;
Mail_Access;Mail_Access;Risk Controlling
Mailing_Group;Mailing_Group;Fund Mgt.
Management_Share1000;Management_Share1000;
Management_Share1002;Management_Share1002;
Management_Share1003;Management_Share1003;
Management_Share1004;Management_Share1004;
Management_Share1005;Management_Share1005;
Management_Share1006;Management_Share1006;
Management_Share1007;Management_Share1007;
Management_Share1008;Management_Share1008;
Management_Share1009;Management_Share1009;
Management_Share1011;Management_Share1011;
Management_Share1014;Management_Share1014;
Management_Share1015;Management_Share1015;
Management_Share1016;Management_Share1016;
Management_Share1022;Management_Share1022;
Management_Share1023;Management_Share1023;
Management_Share1025;Management_Share1025;
Management_Share1026;Management_Share1026;
Management_Share1028;Management_Share1028;
Management_Share1029;Management_Share1029;
Management_Share1030;Management_Share1030;
Management_Share1031;Management_Share1031;
Management_Share1032;Management_Share1032;
Management_Share1033;Management_Share1033;
Management_Share1039;Management_Share1039;
Management_Share1040;Management_Share1040;
Management_Share1041;Management_Share1041;
Management_Share1042;Management_Share1042;
Management_Share1043;Management_Share1043;
Management_Share1044;Management_Share1044;
Management_Share1045;Management_Share1045;Risk Controlling
Management_Share1046;Management_Share1046;
Management_Share1047;Management_Share1047;
Management_Share1048;Management_Share1048;
Management_Share1049;Management_Share1049;Payment Traffic
Management_Share1050;Management_Share1050;
Management_Share1051;Management_Share1051;
Management_Share1052;Management_Share1052;
Management_Share1053;Management_Share1053;
Management_Share1054;Management_Share1054;
Management_Share1055;Management_Share1055;
Management_Share1056;Management_Share1056;
Management_Share1057;Management_Share1057;
Management_Share1058;Management_Share1058;
Management_Share1063;Management_Share1063;
Management_Share1064;Management_Share1064;
Management_Share1065;Management_Share1065;
Management_Share1066;Management_Share1066;
Management_Share1068;Management_Share1068;
Management_Share1069;Management_Share1069;
Management_Share1070;Management_Share1070;
